"","date","total_hits","total_at_bats","total_average","gameday","cum_at_bats","cum_hits","running_avg"
"1",2019-08-20,25,71,0.352112676056338,1,71,25,0.352112676056338
"2",2019-08-29,19,74,0.256756756756757,2,145,44,0.303448275862069
"3",2019-08-30,56,160,0.35,3,305,100,0.327868852459016
"4",2019-09-11,21,71,0.295774647887324,4,376,121,0.321808510638298
"5",2019-09-14,20,65,0.307692307692308,5,441,141,0.319727891156463
"6",2020-01-11,22,69,0.318840579710145,6,510,163,0.319607843137255
"7",2020-01-19,17,60,0.283333333333333,7,570,180,0.315789473684211
"8",2020-02-28,38,104,0.365384615384615,8,674,218,0.323442136498516
"9",2020-03-20,18,70,0.257142857142857,9,744,236,0.317204301075269
"10",2020-03-21,52,165,0.315151515151515,10,909,288,0.316831683168317
"11",2020-03-23,29,78,0.371794871794872,11,987,317,0.321175278622087
"12",2020-03-24,41,153,0.26797385620915,12,1140,358,0.314035087719298
"13",2020-03-25,43,154,0.279220779220779,13,1294,401,0.309891808346213
"14",2020-03-26,26,74,0.351351351351351,14,1368,427,0.312134502923977
"15",2020-03-27,25,74,0.337837837837838,15,1442,452,0.313453536754508
"16",2020-03-29,35,81,0.432098765432099,16,1523,487,0.319763624425476
"17",2020-03-31,51,150,0.34,17,1673,538,0.321578003586372
"18",2020-04-02,19,70,0.271428571428571,18,1743,557,0.31956397016638
"19",2020-04-04,21,73,0.287671232876712,19,1816,578,0.318281938325991
"20",2020-04-05,39,87,0.448275862068966,20,1903,617,0.324224908039937
"21",2020-04-08,21,73,0.287671232876712,21,1976,638,0.322874493927126
"22",2020-04-09,30,71,0.422535211267606,22,2047,668,0.326331216414265
"23",2020-04-10,28,81,0.345679012345679,23,2128,696,0.327067669172932
"24",2020-04-14,19,67,0.283582089552239,24,2195,715,0.325740318906606
"25",2020-04-16,25,72,0.347222222222222,25,2267,740,0.326422584913983
"26",2020-04-17,31,79,0.392405063291139,26,2346,771,0.328644501278772
"27",2020-04-22,18,69,0.260869565217391,27,2415,789,0.326708074534162
"28",2020-04-24,21,70,0.3,28,2485,810,0.325955734406439
"29",2020-04-30,23,68,0.338235294117647,29,2553,833,0.326282804543674
"30",2020-05-02,20,67,0.298507462686567,30,2620,853,0.325572519083969
"31",2020-06-01,25,77,0.324675324675325,31,2697,878,0.325546903967371
"32",2020-06-12,16,65,0.246153846153846,32,2762,894,0.32367849384504
"33",2020-09-15,25,69,0.36231884057971,33,2831,919,0.324620275521017
"34",2020-09-18,23,76,0.302631578947368,34,2907,942,0.324045407636739
"35",2020-09-19,21,50,0.42,35,2957,963,0.325667906662158
"36",2020-09-22,15,62,0.241935483870968,36,3019,978,0.323948327260682
"37",2020-09-23,28,76,0.368421052631579,37,3095,1006,0.325040387722132
"38",2020-09-24,20,68,0.294117647058824,38,3163,1026,0.324375592791654
"39",2020-09-26,39,140,0.278571428571429,39,3303,1065,0.322434150772025
"40",2020-09-27,16,68,0.235294117647059,40,3371,1081,0.320676357164046
"41",2020-09-28,25,80,0.3125,41,3451,1106,0.320486815415822
"42",2020-09-29,24,79,0.30379746835443,42,3530,1130,0.320113314447592
"43",2020-10-06,17,67,0.253731343283582,43,3597,1147,0.318876841812622
"44",2020-10-08,25,76,0.328947368421053,44,3673,1172,0.319085216444323
"45",2020-10-10,30,82,0.365853658536585,45,3755,1202,0.320106524633822
"46",2020-10-11,21,67,0.313432835820896,46,3822,1223,0.319989534275249
"47",2020-10-12,10,57,0.175438596491228,47,3879,1233,0.317865429234339
"48",2020-10-14,24,70,0.342857142857143,48,3949,1257,0.318308432514561
"49",2020-10-16,22,71,0.309859154929577,49,4020,1279,0.3181592039801
"50",2020-10-18,34,94,0.361702127659574,50,4114,1313,0.319154107924161
"51",2020-10-19,19,66,0.287878787878788,51,4180,1332,0.31866028708134
"52",2020-10-21,31,78,0.397435897435897,52,4258,1363,0.320103334899014
"53",2020-10-23,25,67,0.373134328358209,53,4325,1388,0.320924855491329
"54",2020-10-25,44,88,0.5,54,4413,1432,0.324495807840471
"55",2020-10-26,63,153,0.411764705882353,55,4566,1495,0.327420061322821
"56",2020-10-27,21,67,0.313432835820896,56,4633,1516,0.327217785452191
"57",2020-10-28,34,84,0.404761904761905,57,4717,1550,0.328598685605258
"58",2020-10-30,48,144,0.333333333333333,58,4861,1598,0.328738942604402
"59",2020-11-01,62,157,0.394904458598726,59,5018,1660,0.330809087285771
"60",2020-11-03,28,75,0.373333333333333,60,5093,1688,0.33143530335755
"61",2020-11-06,55,151,0.364238410596026,61,5244,1743,0.332379862700229
"62",2020-11-09,15,64,0.234375,62,5308,1758,0.331198191409194
"63",2020-11-13,37,89,0.415730337078652,63,5397,1795,0.332592180841208
"64",2020-11-15,32,78,0.41025641025641,64,5475,1827,0.333698630136986
"65",2020-11-20,29,84,0.345238095238095,65,5559,1856,0.333872998740781
"66",2020-11-21,19,67,0.283582089552239,66,5626,1875,0.333274084607181
"67",2020-11-24,16,59,0.271186440677966,67,5685,1891,0.332629727352682
"68",2020-11-30,21,72,0.291666666666667,68,5757,1912,0.332117422268543
"69",2020-12-03,34,78,0.435897435897436,69,5835,1946,0.33350471293916
"70",2020-12-05,18,83,0.216867469879518,70,5918,1964,0.331868874619804
"71",2020-12-08,29,75,0.386666666666667,71,5993,1993,0.33255464708827
"72",2020-12-18,13,80,0.1625,72,6073,2006,0.330314506833525
"73",2020-12-23,27,94,0.287234042553192,73,6167,2033,0.32965785633209
"74",2020-12-26,14,62,0.225806451612903,74,6229,2047,0.328624177235511
"75",2020-12-28,25,72,0.347222222222222,75,6301,2072,0.328836692588478
"76",2021-01-02,21,72,0.291666666666667,76,6373,2093,0.328416758198651
